geneId	total	isoform_def	isoform_undef
Tom1l2	14	0	14
Tom1l1	5	1	4
Nsfl1c	175	152	23
Mfsd7b	5	4	1
Fam167a	3	0	3
Helb	3	1	2
AC087559.2	1	0	1
Fpgt	12	10	2
Fpgs	7	5	2
mt-Cytb	3390	3364	26
Inhba	7	0	7
Tvp23b	23	14	9
Inhbb	14	9	5
Tvp23a	23	5	18
Kctd20	50	28	22
Kctd21	3	1	2
Atg101	111	105	6
Svop	35	20	15
4831440E17Rik	3	0	3
Aqp11	6	5	1
Sdf2l1	41	39	2
Rbm3	589	516	73
Lingo4	1	0	1
Rbm4	3	0	3
Cdadc1	5	2	3
Lingo2	8	0	8
Hmgcs1	240	134	106
Lingo1	50	18	32
Rbm7	85	74	11
Cks1b	176	175	1
Rbks	2	1	1
Rbm5	182	66	116
Baiap2	43	15	28
Rbm6	128	21	107
Creb1	49	41	8
Ppdpf	636	530	106
Creb3	28	24	4
Kctd10	38	20	18
Gap43	443	341	102
Kctd15	30	23	7
Vps33a	11	5	6
Vps33b	19	10	9
Kctd18	25	18	7
Creb5	35	6	29
Kctd12	8	8	0
Kctd13	128	115	13
Kctd14	1	1	0
Rbl2	6	5	1
Rbl1	5	1	4
Fam161a	3	0	3
Sag	2	0	2
Fam161b	21	0	21
Dusp14	22	17	5
Dusp15	9	6	3
Dusp16	5	0	5
Fundc2	93	52	41
Fundc1	34	26	8
Dusp18	27	10	17
Pmepa1	28	4	24
Hmg20a	26	10	16
Hmg20b	71	42	29
Tmem86a	13	11	2
Nxf1	273	204	69
Vprbp	12	0	12
Donson	3	0	3
Tyw1	18	2	16
Fam162a	106	67	39
Pdap1	493	234	259
Kcnab1	2	2	0
Hes1	15	10	5
Kcnab2	4	2	2
Bub3	259	178	81
Dusp10	11	3	8
Hes5	109	61	48
Rbmx	169	138	31
Pot1b	4	0	4
Bub1	21	4	17
Dusp11	67	47	20
Kcnab3	7	3	4
Pot1a	12	4	8
Dusp12	31	20	11
Clcn6	19	1	18
Clcn7	11	0	11
Clcn4	140	4	136
Clcn5	5	0	5
Thrb	1	0	1
Timm10b	2	0	2
Bad	106	75	31
Thra	697	306	391
Arhgap27os2	1	0	1
Ctnnbip1	261	204	57
Tmem87a	4	2	2
Poc1b	27	10	17
Tmem87b	10	1	9
Poc1a	16	9	7
Fam163a	3	0	3
Ostf1	11	10	1
Rnaseh2c	171	157	14
Rnaseh2b	107	79	28
Fam163b	2	1	1
Rnaseh2a	59	50	9
Bax	436	407	29
Dennd3	1	0	1
A730071L15Rik	2	2	0
Lman1	36	3	33
Mdc1	9	2	7
Morn1	5	2	3
Gm4221	1	0	1
Ptdss1	34	25	9
Sct	1	1	0
Morn2	47	40	7
Lman2	39	24	15
Ngdn	72	47	25
Ptdss2	56	38	18
Morn4	71	38	33
Clvs1	36	10	26
Scx	5	5	0
Nfrkb	47	3	44
Serf1	673	645	28
L1cam	53	0	53
Serf2	1039	771	268
Smim20	59	57	2
Clvs2	6	5	1
Smim15	58	52	6
Smim14	42	28	14
Smim13	24	15	9
Pcdh10	29	28	1
Smim19	51	35	16
Smim18	57	54	3
Trrap	30	16	14
Smim17	2	0	2
Pcdh17	19	2	17
Bbx	47	2	45
Pcdh19	26	2	24
Pcdh18	5	1	4
Rnf113a1	20	20	0
Rab11b	331	252	79
Pcdh15	2	1	1
U2surp	220	22	198
Vwa5b2	7	0	7
Ngef	2	0	2
Rab11a	182	147	35
Rnf113a2	31	31	0
Sf1	96	31	65
Hes6	256	214	42
Hes7	3	0	3
Trmt2a	40	26	14
Trmt2b	5	3	2
Supt3	22	16	6
Galr1	1	1	0
Supt5	75	0	75
Nr1h2	39	24	15
Tyw3	15	11	4
Araf	44	14	30
Tyw5	20	13	7
Eml1	18	2	16
Snrpb2	178	115	63
Rhebl1	34	22	12
Eml2	17	4	13
Trmt1l	34	25	9
Bcr	25	0	25
Eml5	9	4	5
Eml4	57	1	56
Rbp4	1	1	0
Snap47	219	169	50
Smim24	2	1	1
Eml6	1	0	1
Dapk1	40	3	37
Dixdc1	23	9	14
Dapk3	86	59	27
Rbp1	69	67	2
Supt6	41	0	41
Avpr1a	1	0	1
Gabarap	887	843	44
Ngfr	3	2	1
Lrba	4	3	1
Set	680	435	245
Stmn1	8994	8360	634
Thy1	19	15	4
Snrpa1	90	14	76
Rspry1	49	41	8
Setx	21	0	21
Errfi1	12	11	1
