"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Id21",2.85960737232702e-16,0.513175821122219,0.893,0.615,8.0063287210412e-12,"1","Id2"
"Cntn21",4.73760498249085e-16,0.41075004892036,0.752,0.391,1.32643464299779e-11,"1","Cntn2"
"Rbfox1",5.05524650934279e-16,0.510278102537889,0.705,0.383,1.41536791768579e-11,"1","Rbfox1"
"Olfm1",6.76639562184153e-16,0.494744606653723,0.785,0.55,1.89445544620319e-11,"1","Olfm1"
"Akap9",1.91707563418895e-15,0.480143275121691,0.913,0.817,5.36742836060222e-11,"1","Akap9"
"Aff3",2.12519169060579e-14,0.340345135860153,0.396,0.159,5.95011169535808e-10,"1","Aff3"
"Kif5c",2.49905669830949e-14,0.433303328948826,0.872,0.772,6.99685894392692e-10,"1","Kif5c"
"Epha3",5.11115337606394e-14,0.590474290413458,0.638,0.359,1.43102072223038e-09,"1","Epha3"
"Kif21b",1.29897971837259e-13,0.456942529612177,0.664,0.405,3.63688341549959e-09,"1","Kif21b"
"Gm17750",1.38104261607378e-13,0.414401977060047,0.859,0.719,3.86664311648338e-09,"1","Gm17750"
"Plxna41",1.83959339824706e-13,0.472677295686593,0.55,0.292,5.15049359641212e-09,"1","Plxna4"
"Pou3f3",2.18379123114208e-13,0.442756237106191,0.772,0.567,6.1141786889516e-09,"1","Pou3f3"
"Dcx",2.93264846728144e-13,0.38163920695209,0.953,0.792,8.21082917869459e-09,"1","Dcx"
"Myt1l1",3.74332595734225e-13,0.481302234261242,0.805,0.534,1.04805640153668e-08,"1","Myt1l"
"Arhgef25",4.72286548697317e-13,0.322886423741072,0.403,0.176,1.32230787904275e-08,"1","Arhgef25"
"Xpr1",5.17270471980028e-13,0.490352341848474,0.685,0.421,1.44825386744968e-08,"1","Xpr1"
"Robo2",8.0670828018646e-13,0.503930360722027,0.624,0.377,2.25862184286605e-08,"1","Robo2"
"Lhx2",1.085047233137e-12,0.49335156887664,0.698,0.439,3.03791524333698e-08,"1","Lhx2"
"Foxg1",1.80048620786165e-12,0.411804175466569,0.879,0.743,5.04100128477104e-08,"1","Foxg1"
"Tagln3",1.83228477446053e-12,0.318969949558375,0.98,0.857,5.13003091153458e-08,"1","Tagln3"
"Cdh4",2.01618477812066e-12,0.465490469403112,0.383,0.165,5.64491414178221e-08,"1","Cdh4"
"Laptm4a",2.68498369696801e-12,0.331356311796476,0.899,0.753,7.51741735477104e-08,"1","Laptm4a"
"Clmp1",2.82608550087174e-12,0.405967561984555,0.738,0.461,7.91247418534069e-08,"1","Clmp"
"Plxna2",2.86493508007582e-12,0.436110988412843,0.651,0.439,8.02124523719629e-08,"1","Plxna2"
