"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc1a3",2.23988711502102e-43,1.46181964765007,0.914,0.286,6.27123594463584e-39,"radial glia","Slc1a3"
"Fbln2",8.96180854308431e-43,0.387665654728911,0.4,0.028,2.50912715589274e-38,"radial glia","Fbln2"
"Ak3",3.23115760611486e-42,0.680653978136842,0.714,0.121,9.04659506560039e-38,"radial glia","Ak3"
"Tgfb2",3.44018872378219e-42,0.587691626355285,0.571,0.069,9.63184038884539e-38,"radial glia","Tgfb2"
"Mgst1",4.58925802234188e-42,0.396376589949595,0.357,0.021,1.28490046109528e-37,"radial glia","Mgst1"
"Rhbdf1",4.95750002366958e-42,0.289505964695951,0.286,0.01,1.38800085662701e-37,"radial glia","Rhbdf1"
"Rgs20",5.46354169942494e-42,0.461886243831863,0.486,0.047,1.52968240500499e-37,"radial glia","Rgs20"
"Etv4",5.60152169823685e-42,0.268483463870207,0.314,0.014,1.56831404507235e-37,"radial glia","Etv4"
"Fabp7",8.71239458933493e-42,3.59726098754203,0.971,0.513,2.43929623712199e-37,"radial glia","Fabp7"
"S1pr3",1.12581425013763e-41,0.340568408118603,0.2,0.002,3.15205473753532e-37,"radial glia","S1pr3"
"Pea15a",2.09146939980749e-41,1.52334187768274,0.986,0.468,5.855696025581e-37,"radial glia","Pea15a"
"Nes",2.45429145034468e-41,0.689211311867489,0.757,0.145,6.87152520267504e-37,"radial glia","Nes"
"Efemp2",2.9480288249072e-41,0.373011018190542,0.443,0.037,8.25389110397517e-37,"radial glia","Efemp2"
"Notch3",4.21889619249555e-41,0.268960945166025,0.257,0.008,1.1812065559749e-36,"radial glia","Notch3"
"Snhg18",5.01767629637153e-41,0.58363483115941,0.6,0.078,1.4048490094581e-36,"radial glia","Snhg18"
"Efhd2",6.0592699345864e-41,0.653832844020902,0.771,0.135,1.6964743962855e-36,"radial glia","Efhd2"
"Fgfbp3",7.06135901850467e-41,1.10622051370266,0.729,0.139,1.97703929800094e-36,"radial glia","Fgfbp3"
"Abhd4",8.67507898821121e-41,0.474214555814365,0.514,0.057,2.42884861511938e-36,"radial glia","Abhd4"
"S100a11",1.13664952890852e-40,0.642337440318451,0.5,0.052,3.18239135103807e-36,"radial glia","S100a11"
"Tcf7l2",2.58189900299577e-40,0.298890139657725,0.4,0.029,7.22880082858757e-36,"radial glia","Tcf7l2"
"Sox9",4.37405830854261e-40,0.863126511142704,0.829,0.186,1.22464884522576e-35,"radial glia","Sox9"
"Etl4",6.43617197774546e-40,0.252075934123735,0.243,0.007,1.80199943032917e-35,"radial glia","Etl4"
"Megf10",2.05642088118338e-39,0.256741722180011,0.257,0.009,5.75756718313722e-35,"radial glia","Megf10"
"Qk",3.21328343969559e-39,1.00842508352559,0.886,0.249,8.99655097445972e-35,"radial glia","Qk"
"Acadl",1.405032887485e-38,0.366299187929618,0.429,0.039,3.9338110783805e-34,"radial glia","Acadl"
"Rcn3",2.64928577452426e-38,0.470555938812447,0.543,0.07,7.41747031151303e-34,"radial glia","Rcn3"
"Rdm1",6.97501828049392e-38,0.482307503343004,0.529,0.065,1.95286561817269e-33,"radial glia","Rdm1"
"Myo10",1.34324397493299e-37,0.458968121804556,0.543,0.068,3.76081448101738e-33,"radial glia","Myo10"
"Adgrv1",2.50299755801096e-37,0.28248272456062,0.314,0.018,7.00789256291907e-33,"radial glia","Adgrv1"
"Tanc1",1.02345276894401e-36,0.271800621036739,0.357,0.026,2.86546306248943e-32,"radial glia","Tanc1"
"Hopx",1.48792074470006e-36,0.411375128693745,0.3,0.017,4.16588050101122e-32,"radial glia","Hopx"
"Pdgfrb",1.68042392490308e-36,0.363612772338348,0.243,0.009,4.70485090494363e-32,"radial glia","Pdgfrb"
